config,use_llm_advisor,run_id,hv,igd,feasible,E_best_kWh,energy_saving_pct,runtime_s
A,0,1,1.102937421811,0.00174412161710928,0.64,25.4939315455278,71.7476172668324,1268.6848848
A,0,2,1.10296401386653,0.00167841964834456,0.646666666666667,25.4557024748846,71.7899827346072,1247.0720565
A,0,3,1.10297061552024,0.00170355444619801,0.643333333333333,25.4017787434535,71.8497410302655,1254.035799
A,0,4,1.10295097361575,0.0017097316545134,0.63,25.4492774792684,71.7971029167135,1277.1665952
A,0,5,1.1029396899114,0.00168566292270898,0.626666666666667,25.4707667559089,71.7732884937703,1208.2677395
A,0,6,1.10295896194128,0.00174541056285225,0.633333333333333,25.4490510092945,71.7973538908078,1162.6950521
A,0,7,1.10292060872828,0.00178336736841563,0.603333333333333,25.4488586063494,71.7975671118103,1173.5810231
A,0,8,1.10293429377678,0.00167606883702035,0.636666666666667,25.5071461637446,71.7329728228844,1208.6192684
A,0,9,1.10294105431127,0.00168637106174778,0.633333333333333,25.4906582993293,71.7512446792703,1239.3162631
A,0,10,1.10296261633401,0.00171767915392286,0.64,25.4034542113667,71.8478842762119,1229.5613903
B,0,1,1.11325109547472,0.0108739362598718,0.783333333333333,26.3841105921375,70.7611205752197,1168.9481479
B,0,2,1.11627443712026,0.0107681441668345,0.776666666666667,26.3806085850353,70.7650015005611,1154.790395
B,0,3,1.11424784927258,0.0107740941756046,0.776666666666667,26.3758867685703,70.7702342190111,1160.2075052
B,0,4,1.1366823299365,0.00898597416142833,0.786666666666667,26.4159646151859,70.7258199371385,1172.8283059
B,0,5,1.11211404932034,0.0108049058631274,0.793333333333333,26.4296556710185,70.710647504879,1082.9624939
B,0,6,1.13040394574825,0.0101451116411688,0.793333333333333,26.3521214874158,70.7965709108525,1080.7926729
B,0,7,1.11657105437456,0.010754577310191,0.776666666666667,26.3919542651883,70.7524282143467,1082.6757007
B,0,8,1.11610390655929,0.0105883066299965,0.753333333333333,26.3782489389474,70.7676164610771,1070.5852978
B,0,9,1.11508625788572,0.0107328187576267,0.78,26.438558979962,70.7007808551857,671.8878369
B,0,10,1.12844252595264,0.0102344449987857,0.763333333333333,26.3734732532287,70.7729088774506,668.6388936
C,0,1,1.09023646683103,0.00194681748222076,0.603333333333333,25.4274953900794,71.8212418346122,1521.417311
C,0,2,1.09093987811712,0.00198653627259051,0.566666666666667,25.4634956121371,71.7813463775213,1471.0059613
C,0,3,1.09026394921893,0.00201316461356432,0.56,25.4181856901332,71.8315588469389,1463.47586
C,0,4,1.09064800749473,0.00196893645419255,0.573333333333333,25.4168189228625,71.8330734988461,1523.550094
C,0,5,1.09026828625712,0.00198387877742528,0.573333333333333,25.4646274930794,71.780092026715,1452.79582
C,0,6,1.09026266646199,0.00202404194761185,0.56,25.480389015889,71.7626251023185,1521.5604081
C,0,7,1.09026977846587,0.00186701287517547,0.643333333333333,25.4142670578059,71.8359014764821,1452.3801734
C,0,8,1.09024617087613,0.00188461051189339,0.61,25.4817652302543,71.7610999811382,1520.4235845
C,0,9,1.09024962586388,0.00209684557842317,0.576666666666667,25.4652649204795,71.7793856294753,1158.1964695
C,0,10,1.09027265465749,0.00196060689098314,0.56,25.4141255765899,71.836058266009,1152.9137059
D,0,1,1.14013032972609,0.00723496696783562,0.45,25.4022532351104,71.8492151984663,1489.4489223
D,0,2,1.14292407300247,0.0092615774976623,0.52,25.4260499558939,71.8228436652185,1431.4800499
D,0,3,1.14278676050791,0.0051353242638583,0.493333333333333,25.4156468850562,71.8343723515014,1433.5042892
D,0,4,1.14436918548346,0.0105512235100395,0.443333333333333,25.4179557571215,71.8318136587727,1496.2715756
D,0,5,1.13992509920091,0.0147888676114319,0.52,25.4162002618359,71.8337590991849,1433.3178277
D,0,6,1.14106764563855,0.00868531115416802,0.456666666666667,25.4353883629244,71.8124948396923,1493.6836626
D,0,7,1.13947677083343,0.00624159664228695,0.473333333333333,25.4260468561156,71.8228471003938,1442.2948552
D,0,8,1.14224832265073,0.00761762476840065,0.503333333333333,25.4045376504355,71.8466836087046,1498.4571564
D,0,9,1.13711907346656,0.00712983136903085,0.496666666666667,25.4197426023823,71.8298334763085,1117.5885248
D,0,10,1.13955742191869,0.0122393650917782,0.503333333333333,25.4260051107271,71.8228933626461,1113.6998824
C_LLM,1,1,1.09024371307312,0.0020601965847903,0.563333333333333,25.4746615684899,71.7689722612773,1475.8548603
C_LLM,1,2,1.09071475586648,0.00206164990256832,0.563333333333333,25.4179033725844,71.8318717113328,1395.6949023
C_LLM,1,3,1.09020300556973,0.00202375423150327,0.56,25.4642815768269,71.7804753712118,1398.2285671
C_LLM,1,4,1.09021208981322,0.0021012040012295,0.546666666666667,25.4139142093904,71.836292503204,1477.8909971
C_LLM,1,5,1.09026093019674,0.00201012413768465,0.566666666666667,25.4351326279024,71.8127782453218,1402.1357193
C_LLM,1,6,1.09050296729059,0.00190606468007238,0.573333333333333,25.417057418487,71.8328091979222,1470.9607962
C_LLM,1,7,1.09027755485086,0.00206168774238945,0.583333333333333,25.4343495658136,71.813646034968,1403.6878297
C_LLM,1,8,1.09025792911027,0.00191804990147365,0.603333333333333,25.4630837933726,71.781802755202,1471.1823383
C_LLM,1,9,1.09058492010001,0.00203458665889215,0.553333333333333,25.4145566813798,71.835580515549,1160.0397617
C_LLM,1,10,1.09027711097298,0.00187224564509538,0.636666666666667,25.4145645264901,71.8355718215953,1160.8763027
D_LLM,1,1,1.1444513703153,0.00456397710394134,0.496666666666667,25.4803359631666,71.7626838953617,1515.2190728
D_LLM,1,2,1.14047709746482,0.00602653342333946,0.493333333333333,25.4268135762289,71.8219974209298,1425.248374
D_LLM,1,3,1.14004307120522,0.00471447528513067,0.493333333333333,25.4101113462883,71.8405068372564,1426.9941331
D_LLM,1,4,1.14333382709694,0.0110311031504335,0.43,25.4288171347461,71.8197770767684,1517.0765619
D_LLM,1,5,1.14077993205309,0.00577629581152193,0.506666666666667,25.4310637296488,71.8172873996104,1433.9162446
D_LLM,1,6,1.14476929574947,0.00421835998478347,0.456666666666667,25.4247112048982,71.8243272694813,1516.3957462
D_LLM,1,7,1.14293361303363,0.00772285055330977,0.493333333333333,25.4145309551435,71.8356090253719,1430.383486
D_LLM,1,8,1.14374361288947,0.00421642396073117,0.486666666666667,25.5317181496017,71.705742140645,1524.4926119
D_LLM,1,9,1.14278705966749,0.00688533369525987,0.473333333333333,25.5154469209613,71.7237739211989,1187.4640793
D_LLM,1,10,1.14252170138253,0.0100135531917194,0.496666666666667,25.4452699026881,71.8015441143049,1189.8232077
